;library_prep;external_donor_name;age_cat;sex;facs_population_plan;roi;age;ncell;mean.gc;mean.umi;mean.reads;full_genotype
107;L8TX_200813_01_B12;454398;aged;M;Calcein-positive, Hoechst-positive;CNU - PAL;543;5871;3087.690853;8473.65287;76364.76205;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
108;L8TX_200813_01_C09;452717;aged;F;No FACS;PL-ILA-ORB;549;6270;5214.132376;24697.71356;80720.43573;Ai14(RCL-tdT)/wt
109;L8TX_200813_01_D09;452717;aged;F;Calcein-positive, Hoechst-positive;AI-CLA;549;5262;5115.477195;24148.88997;59325.96066;Ai14(RCL-tdT)/wt
110;L8TX_200813_01_E09;453388;aged;M;Calcein-positive, Hoechst-positive;PL-ILA-ORB;546;5694;5862.520021;29972.2046;83913.80822;Ai14(RCL-tdT)/wt
111;L8TX_200813_01_E11;452709;aged;M;RFP-positive, DAPI-negative;PAR-POST-PRE-SUB-ProS;550;5956;6279.721289;29051.0638;72762.80759;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
112;L8TX_200813_01_F08;452717;aged;F;No FACS;AI-CLA;549;11028;4383.043979;16670.38148;32649.71309;Ai14(RCL-tdT)/wt
113;L8TX_200813_01_F09;453388;aged;M;Calcein-positive, Hoechst-positive;AI-CLA;546;5292;5645.508692;28524.32124;74596.92668;Ai14(RCL-tdT)/wt
114;L8TX_200813_01_F11;452709;aged;M;RFP-positive, DAPI-negative;PONS - Pmot-Psat ant;550;3498;5817.985992;24268.89222;60255.95597;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
115;L8TX_200813_01_G08;453388;aged;M;No FACS;PL-ILA-ORB;546;8743;4931.686606;20421.65584;40686.60586;Ai14(RCL-tdT)/wt
116;L8TX_200813_01_G09;454398;aged;M;RFP-positive, DAPI-negative;STR - STRd;543;447;4444.85906;16741.18568;38030.61074;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
117;L8TX_200813_01_G10;536274;adult;F;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;66;93;3566.107527;8420.698925;22075.46237;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
118;L8TX_200813_01_H08;453388;aged;M;No FACS;AI-CLA;546;7551;5109.55582;23786.52549;64935.54112;Ai14(RCL-tdT)/wt
119;L8TX_200813_01_H10;454398;aged;M;RFP-positive, DAPI-negative;CNU - PAL;543;1902;4906.352787;18109.57886;51803.59832;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
120;L8TX_200813_01_H11;452709;aged;M;Calcein-positive, Hoechst-positive;PAR-POST-PRE-SUB-ProS;550;6360;3989.056132;14850.22909;74628.33742;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
121;L8TX_200820_01_A02;454396;aged;M;Calcein-positive, Hoechst-positive;RSP;550;5656;4978.139321;19835.42221;42628.43317;Ai14(RCL-tdT)/wt
122;L8TX_200820_01_B01;454396;aged;M;Calcein-positive, Hoechst-positive;ENT;550;5914;4355.155901;16559.12479;25883.21238;Ai14(RCL-tdT)/wt
123;L8TX_200820_01_D03;455014;aged;F;Calcein-positive, Hoechst-positive;RSP;546;6718;4145.370497;14666.36841;79359.05671;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
124;L8TX_200820_01_D12;454399;aged;F;RFP-positive, DAPI-negative;MB - PAG-RAmb;549;6273;5952.403475;23503.56592;79738.34625;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
125;L8TX_200820_01_E01;454396;aged;M;No FACS;RSP;550;6051;4870.384399;20107.83193;50455.79855;Ai14(RCL-tdT)/wt
126;L8TX_200820_01_E03;454399;aged;F;RFP-positive, DAPI-negative;PONS - Pmot-Psat post;549;6547;4961.179319;18595.74217;67215.34061;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
127;L8TX_200820_01_E12;455012;aged;F;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat ant;547;7028;3679.542544;12410.73492;74498.42131;Ai14(RCL-tdT)/wt
128;L8TX_200820_01_F01;454396;aged;M;No FACS;ENT;550;9340;4510.546039;17990.86627;36203.25675;Ai14(RCL-tdT)/wt
129;L8TX_200820_01_F02;538745;adult;F;No FACS;STR - sAMY;57;2909;3437.905466;10406.95737;30952.87487;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
130;L8TX_200820_01_F03;538745;adult;F;Calcein-positive, Hoechst-positive;STR - sAMY;57;6673;3465.910385;10023.80444;47004.43234;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
131;L8TX_200820_01_F08;454399;aged;F;Calcein-positive, Hoechst-positive;PONS - Pmot-Psat post;549;4631;3555.254589;11368.38609;107512.7355;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
132;L8TX_200820_01_G01;455014;aged;F;RFP-positive, DAPI-negative;RSP;546;4971;6177.401328;27107.93885;66407.71676;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
133;L8TX_200820_01_G02;455014;aged;F;Calcein-positive, Hoechst-positive;ENT;546;8067;3776.678443;12813.35081;42818.14838;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
134;L8TX_200820_01_G03;538745;adult;F;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;57;7545;4589.985421;17645.55083;60571.90086;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
135;L8TX_200820_01_G12;454399;aged;F;Calcein-positive, Hoechst-positive;MB - PAG-RAmb;549;9219;3063.041436;8143.443757;59440.85259;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
136;L8TX_200820_01_H01;538745;adult;F;RFP-positive, DAPI-negative;STR - sAMY;57;470;4410.538298;15458.11277;30794.05957;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
137;L8TX_200820_01_H02;455012;aged;F;Calcein-positive, Hoechst-positive;PAR-POST-PRE-SUB-ProS;547;6617;4775.032492;19565.59589;54502.71271;Ai14(RCL-tdT)/wt
138;L8TX_200820_01_H12;455012;aged;F;No FACS;PONS - Pmot-Psat ant;547;3961;3789.760162;13182.45771;144652.5829;Ai14(RCL-tdT)/wt
139;L8TX_200827_01_A09;540565;adult;M;RFP-positive, DAPI-negative;STR - sAMY;54;855;4181.755556;12921.57427;22026.74503;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
140;L8TX_200827_01_A10;455011;aged;F;RFP-positive, Calcein-positive, Hoechst-positive;CNU - PAL;553;1804;5142.796563;20547.24723;92082.13858;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
141;L8TX_200827_01_B10;455011;aged;F;RFP-positive, Calcein-positive, Hoechst-positive;STR - STRd;553;322;5081.664596;22490.07143;69569.34472;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
142;L8TX_200827_01_D10;455011;aged;F;Calcein-positive, Hoechst-positive;CNU - PAL;553;5406;3552.934517;10789.08935;108594.9898;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
143;L8TX_200827_01_F10;455011;aged;F;Calcein-positive, Hoechst-positive;STR - STRd;553;4103;3693.502559;11014.54302;50700.43846;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
144;L8TX_200827_01_G09;539606;adult;M;Calcein-positive, Hoechst-positive;HY -  MEZ-PVZ-PVR;59;141;3876.957447;9508.531915;26093.96454;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
145;L8TX_200827_01_H09;455010;aged;F;RFP-positive, DAPI-negative;HIP - CA;553;4483;6549.05822;34296.45639;84107.57439;"Snap25-IRES2-Cre/wt;Ai14(RCL-tdT)/wt"
